trip_id,start_time,end_time,headway_secs,exact_times
t43,06:00:00,07:00:00,1200,0
t55,06:00:00,07:00:00,1200,0
t57,06:00:00,07:00:00,900,0
t59,06:00:00,07:00:00,600,0
t63,06:00:00,07:00:00,900,0
t65,06:00:00,07:00:00,720,0
t67,06:00:00,07:00:00,720,0
t69,06:00:00,07:00:00,600,0
t73,06:00:00,07:00:00,600,0
t77,06:00:00,07:00:00,600,0
t83,06:00:00,07:00:00,1200,0
t87,06:00:00,07:00:00,720,0
t2,06:00:00,07:00:00,3600,0
t14,07:00:00,08:00:00,600,0
t17,07:00:00,08:00:00,600,0
t93,07:00:00,08:00:00,900,0
t21,07:00:00,08:00:00,900,0
t23,07:00:00,08:00:00,900,0
t27,07:00:00,08:00:00,720,0
t29,07:00:00,08:00:00,1200,0
t33,07:00:00,08:00:00,600,0
t35,07:00:00,08:00:00,720,0
t38,07:00:00,08:00:00,720,0
t41,07:00:00,08:00:00,600,0
t43,07:00:00,08:00:00,900,0
t55,07:00:00,08:00:00,900,0
t57,07:00:00,08:00:00,720,0
t59,07:00:00,08:00:00,600,0
t63,07:00:00,08:00:00,720,0
t65,07:00:00,08:00:00,720,0
t67,07:00:00,08:00:00,600,0
t69,07:00:00,08:00:00,450,0
t73,07:00:00,08:00:00,450,0
t77,07:00:00,08:00:00,450,0
t83,07:00:00,08:00:00,1200,0
t87,07:00:00,08:00:00,720,0
t2,07:00:00,08:00:00,3600,0
t14,08:00:00,09:00:00,450,0
t17,08:00:00,09:00:00,900,0
t93,08:00:00,09:00:00,1200,0
t21,08:00:00,09:00:00,900,0
t23,08:00:00,09:00:00,900,0
t27,08:00:00,09:00:00,720,0
t29,08:00:00,09:00:00,1800,0
t33,08:00:00,09:00:00,720,0
t35,08:00:00,09:00:00,720,0
t38,08:00:00,09:00:00,720,0
t41,08:00:00,09:00:00,600,0
t43,08:00:00,09:00:00,720,0
t55,08:00:00,09:00:00,900,0
t57,08:00:00,09:00:00,900,0
t59,08:00:00,09:00:00,600,0
t63,08:00:00,09:00:00,900,0
t65,08:00:00,09:00:00,720,0
t67,08:00:00,09:00:00,600,0
t69,08:00:00,09:00:00,600,0
t73,08:00:00,09:00:00,450,0
t77,08:00:00,09:00:00,450,0
t83,08:00:00,09:00:00,1200,0
t87,08:00:00,09:00:00,720,0
t2,08:00:00,09:00:00,3600,0
t14,09:00:00,10:00:00,600,0
t17,09:00:00,10:00:00,1200,0
t93,09:00:00,10:00:00,900,0
t21,09:00:00,10:00:00,900,0
t23,09:00:00,10:00:00,900,0
t27,09:00:00,10:00:00,720,0
t29,09:00:00,10:00:00,1800,0
t33,09:00:00,10:00:00,720,0
t35,09:00:00,10:00:00,720,0
t38,09:00:00,10:00:00,720,0
t41,09:00:00,10:00:00,600,0
t43,09:00:00,10:00:00,720,0
t55,09:00:00,10:00:00,900,0
t57,09:00:00,10:00:00,900,0
t59,09:00:00,10:00:00,720,0
t63,09:00:00,10:00:00,900,0
t65,09:00:00,10:00:00,720,0
t67,09:00:00,10:00:00,600,0
t69,09:00:00,10:00:00,600,0
t73,09:00:00,10:00:00,450,0
t77,09:00:00,10:00:00,600,0
t83,09:00:00,10:00:00,1200,0
t87,09:00:00,10:00:00,900,0
t2,09:00:00,10:00:00,3600,0
t14,10:00:00,11:00:00,514,0
t17,10:00:00,11:00:00,1200,0
t93,10:00:00,11:00:00,1200,0
t21,10:00:00,11:00:00,900,0
t23,10:00:00,11:00:00,1200,0
t27,10:00:00,11:00:00,720,0
t29,10:00:00,11:00:00,1800,0
t33,10:00:00,11:00:00,720,0
t35,10:00:00,11:00:00,900,0
t38,10:00:00,11:00:00,720,0
t41,10:00:00,11:00:00,720,0
t43,10:00:00,11:00:00,900,0
t55,10:00:00,11:00:00,900,0
t57,10:00:00,11:00:00,900,0
t59,10:00:00,11:00:00,720,0
t63,10:00:00,11:00:00,900,0
t65,10:00:00,11:00:00,720,0
t67,10:00:00,11:00:00,600,0
t69,10:00:00,11:00:00,600,0
t73,10:00:00,11:00:00,450,0
t77,10:00:00,11:00:00,600,0
t83,10:00:00,11:00:00,1200,0
t87,10:00:00,11:00:00,900,0
t2,10:00:00,11:00:00,3600,0
t14,11:00:00,12:00:00,514,0
t17,11:00:00,12:00:00,900,0
t93,11:00:00,12:00:00,1200,0
t21,11:00:00,12:00:00,900,0
t23,11:00:00,12:00:00,720,0
t27,11:00:00,12:00:00,720,0
t29,11:00:00,12:00:00,1800,0
t33,11:00:00,12:00:00,720,0
t35,11:00:00,12:00:00,900,0
t38,11:00:00,12:00:00,900,0
t41,11:00:00,12:00:00,720,0
t43,11:00:00,12:00:00,900,0
t55,11:00:00,12:00:00,900,0
t57,11:00:00,12:00:00,720,0
t59,11:00:00,12:00:00,600,0
t63,11:00:00,12:00:00,720,0
t65,11:00:00,12:00:00,720,0
t67,11:00:00,12:00:00,600,0
t69,11:00:00,12:00:00,600,0
t73,11:00:00,12:00:00,450,0
t77,11:00:00,12:00:00,600,0
t83,11:00:00,12:00:00,1200,0
t87,11:00:00,12:00:00,720,0
t2,11:00:00,12:00:00,3600,0
t14,12:00:00,13:00:00,514,0
t17,12:00:00,13:00:00,1200,0
t93,12:00:00,13:00:00,1200,0
t21,12:00:00,13:00:00,900,0
t23,12:00:00,13:00:00,720,0
t27,12:00:00,13:00:00,720,0
t29,12:00:00,13:00:00,1800,0
t33,12:00:00,13:00:00,600,0
t35,12:00:00,13:00:00,900,0
t38,12:00:00,13:00:00,720,0
t41,12:00:00,13:00:00,720,0
t43,12:00:00,13:00:00,720,0
t55,12:00:00,13:00:00,900,0
t57,12:00:00,13:00:00,720,0
t59,12:00:00,13:00:00,600,0
t63,12:00:00,13:00:00,720,0
t65,12:00:00,13:00:00,720,0
t67,12:00:00,13:00:00,600,0
t69,12:00:00,13:00:00,450,0
t73,12:00:00,13:00:00,450,0
t77,12:00:00,13:00:00,600,0
t83,12:00:00,13:00:00,1200,0
t87,12:00:00,13:00:00,720,0
t2,12:00:00,13:00:00,3600,0
t14,13:00:00,14:00:00,514,0
t17,13:00:00,14:00:00,1200,0
t93,13:00:00,14:00:00,1200,0
t21,13:00:00,14:00:00,900,0
t23,13:00:00,14:00:00,720,0
t27,13:00:00,14:00:00,720,0
t29,13:00:00,14:00:00,1800,0
t33,13:00:00,14:00:00,600,0
t35,13:00:00,14:00:00,900,0
t38,13:00:00,14:00:00,720,0
t41,13:00:00,14:00:00,720,0
t43,13:00:00,14:00:00,900,0
t55,13:00:00,14:00:00,900,0
t57,13:00:00,14:00:00,600,0
t59,13:00:00,14:00:00,720,0
t63,13:00:00,14:00:00,600,0
t65,13:00:00,14:00:00,720,0
t67,13:00:00,14:00:00,600,0
t69,13:00:00,14:00:00,600,0
t73,13:00:00,14:00:00,450,0
t77,13:00:00,14:00:00,600,0
t83,13:00:00,14:00:00,1200,0
t87,13:00:00,14:00:00,720,0
t2,13:00:00,14:00:00,3600,0
t14,14:00:00,15:00:00,514,0
t17,14:00:00,15:00:00,720,0
t93,14:00:00,15:00:00,1200,0
t21,14:00:00,15:00:00,1200,0
t23,14:00:00,15:00:00,900,0
t27,14:00:00,15:00:00,720,0
t29,14:00:00,15:00:00,1800,0
t33,14:00:00,15:00:00,720,0
t35,14:00:00,15:00:00,720,0
t38,14:00:00,15:00:00,900,0
